epoch	train.loss	train.mjpeg_acc	train.noise_acc	val.base_acc	val.cropped_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.ssim
107	0.42	0.886	0.958	0.909	0.894	0.826	0.907	42.156	0.959
108	0.411	0.888	0.96	0.904	0.89	0.82	0.902	42.135	0.959
109	0.406	0.89	0.961	0.916	0.903	0.821	0.913	42.148	0.959
110	0.393	0.892	0.965	0.918	0.906	0.828	0.914	42.108	0.959
111	0.388	0.893	0.966	0.917	0.906	0.822	0.914	42.029	0.958
112	0.381	0.895	0.969	0.918	0.906	0.822	0.915	42.13	0.958
113	0.379	0.894	0.971	0.916	0.907	0.814	0.914	42.173	0.958
114	0.37	0.898	0.973	0.921	0.908	0.823	0.918	42.092	0.957
115	0.354	0.904	0.977	0.926	0.915	0.823	0.923	42.055	0.958
116	0.348	0.903	0.98	0.924	0.91	0.825	0.922	42.087	0.957
117	0.349	0.903	0.98	0.93	0.916	0.83	0.928	42.064	0.956
118	0.339	0.905	0.983	0.929	0.915	0.828	0.926	42.078	0.957
119	0.327	0.909	0.986	0.937	0.925	0.836	0.935	41.99	0.956
120	0.322	0.908	0.987	0.937	0.922	0.829	0.934	42.01	0.955
121	0.317	0.908	0.989	0.935	0.924	0.821	0.933	42.128	0.956
122	0.322	0.906	0.987	0.939	0.925	0.833	0.937	42.043	0.956
123	0.301	0.914	0.99	0.941	0.927	0.834	0.938	42.033	0.955
124	0.3	0.913	0.99	0.942	0.927	0.829	0.94	41.975	0.956
125	0.284	0.917	0.993	0.942	0.929	0.84	0.94	41.969	0.954
126	0.287	0.915	0.992	0.944	0.93	0.835	0.941	41.996	0.954
127	0.28	0.916	0.992	0.943	0.929	0.832	0.942	42.036	0.955
128	0.274	0.917	0.994	0.945	0.933	0.842	0.942	41.971	0.954
