epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
171	0.222	0.967	0.956	0.993	42.515	0.962
172	0.196	0.973	0.962	0.993	42.428	0.96
173	0.212	0.969	0.959	0.989	42.442	0.962
174	0.196	0.971	0.964	0.99	42.394	0.963
175	0.219	0.969	0.956	0.989	42.425	0.963
176	0.211	0.968	0.958	0.99	42.362	0.963
177	0.217	0.968	0.957	0.989	42.525	0.96
178	0.185	0.974	0.965	0.992	42.582	0.964
179	0.188	0.974	0.964	0.987	42.455	0.961
180	0.193	0.971	0.964	0.986	42.396	0.962
181	0.198	0.971	0.962	0.993	42.397	0.962
182	0.199	0.97	0.959	0.992	42.563	0.964
183	0.189	0.971	0.964	0.969	42.57	0.967
184	0.187	0.971	0.965	0.988	42.646	0.967
185	0.184	0.973	0.964	0.973	42.7	0.97
186	0.2	0.97	0.961	0.994	42.485	0.961
187	0.184	0.974	0.963	0.992	42.51	0.961
188	0.178	0.974	0.966	0.987	42.699	0.967
189	0.173	0.975	0.968	0.991	42.498	0.962
190	0.184	0.973	0.963	0.734	42.861	0.978
191	0.277	0.954	0.941	0.989	42.6	0.965
192	0.188	0.973	0.963	0.995	42.566	0.961
193	0.168	0.975	0.967	0.994	42.482	0.96
194	0.195	0.975	0.959	0.996	42.53	0.96
195	0.166	0.976	0.969	0.993	42.537	0.961
196	0.181	0.974	0.965	0.986	42.641	0.968
197	0.156	0.977	0.972	0.971	42.74	0.97
198	0.166	0.974	0.969	0.995	42.561	0.959
199	0.185	0.972	0.964	0.988	42.769	0.967
200	0.165	0.977	0.97	0.993	42.638	0.964
