epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
143	0.265	0.964	0.945	0.981	0.987	42.468	0.971	0.962
144	0.267	0.961	0.948	0.977	0.987	42.466	0.969	0.963
145	0.292	0.955	0.94	0.985	0.992	42.538	0.98	0.961
146	0.252	0.965	0.952	0.985	0.992	42.506	0.979	0.961
147	0.259	0.961	0.945	0.976	0.984	42.488	0.964	0.962
148	0.279	0.958	0.944	0.987	0.993	42.464	0.98	0.961
149	0.279	0.959	0.941	0.944	0.953	42.888	0.923	0.974
150	0.242	0.964	0.953	0.98	0.988	42.519	0.97	0.961
151	0.238	0.967	0.952	0.979	0.987	42.49	0.969	0.962
152	0.253	0.963	0.949	0.985	0.992	42.477	0.979	0.96
153	0.243	0.964	0.952	0.938	0.951	42.451	0.908	0.963
154	0.253	0.961	0.951	0.979	0.989	42.482	0.969	0.96
155	0.247	0.964	0.947	0.981	0.988	42.507	0.97	0.963
156	0.24	0.963	0.952	0.922	0.937	42.858	0.907	0.974
157	0.232	0.964	0.953	0.981	0.99	42.476	0.971	0.961
158	0.235	0.963	0.953	0.982	0.989	42.497	0.972	0.96
159	0.241	0.965	0.949	0.986	0.992	42.524	0.976	0.962
160	0.226	0.967	0.954	0.985	0.99	42.473	0.972	0.961
161	0.225	0.966	0.954	0.976	0.983	42.418	0.958	0.964
162	0.257	0.96	0.948	0.979	0.985	42.808	0.967	0.969
163	0.226	0.969	0.953	0.989	0.994	42.478	0.98	0.961
164	0.226	0.968	0.954	0.965	0.971	42.684	0.942	0.968
165	0.222	0.967	0.957	0.977	0.987	42.458	0.969	0.963
166	0.213	0.967	0.958	0.988	0.993	42.456	0.98	0.96
167	0.209	0.968	0.961	0.987	0.991	42.485	0.975	0.959
168	0.22	0.966	0.956	0.988	0.993	42.46	0.979	0.96
169	0.212	0.968	0.958	0.987	0.993	42.464	0.978	0.96
170	0.216	0.968	0.956	0.986	0.991	42.484	0.974	0.96
171	0.219	0.965	0.956	0.986	0.991	42.517	0.973	0.959
172	0.207	0.969	0.959	0.988	0.994	42.615	0.98	0.964
173	0.223	0.966	0.954	0.968	0.974	42.445	0.942	0.96
174	0.206	0.968	0.96	0.977	0.983	42.546	0.963	0.964
175	0.215	0.969	0.958	0.988	0.993	42.42	0.98	0.959
176	0.2	0.968	0.96	0.987	0.992	42.504	0.978	0.962
177	0.228	0.964	0.954	0.96	0.965	42.716	0.923	0.967
178	0.198	0.971	0.959	0.983	0.988	42.482	0.964	0.96
179	0.203	0.97	0.958	0.979	0.984	42.578	0.963	0.966
180	0.234	0.965	0.951	0.987	0.991	42.515	0.973	0.961
181	0.209	0.968	0.959	0.99	0.993	42.573	0.979	0.961
182	0.195	0.971	0.96	0.982	0.988	42.646	0.965	0.963
183	0.198	0.969	0.96	0.988	0.993	42.552	0.979	0.962
184	0.186	0.973	0.961	0.988	0.99	42.657	0.974	0.964
185	0.176	0.974	0.965	0.979	0.988	42.492	0.965	0.96
