epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
189	0.222	0.914	0.997	0.888	42.821	0.937
190	0.227	0.911	0.998	0.874	42.818	0.936
191	0.22	0.913	0.998	0.873	42.861	0.937
192	0.225	0.912	0.998	0.885	42.842	0.937
193	0.223	0.913	0.998	0.873	42.856	0.937
194	0.227	0.909	0.998	0.88	42.842	0.937
195	0.227	0.91	0.998	0.883	42.843	0.937
196	0.227	0.911	0.998	0.886	42.851	0.937
197	0.225	0.912	0.998	0.878	42.84	0.936
198	0.22	0.913	0.998	0.886	42.846	0.936
199	0.226	0.909	0.998	0.889	42.847	0.936
200	0.224	0.912	0.998	0.885	42.859	0.937
