epoch	train.adv_loss	train.loss	train.mjpeg_acc	train.raw_acc	val.crop_acc	val.mjpeg_acc	val.psnr	val.scale_acc	val.ssim
117	-0.008	0.175	0.972	0.965	0.996	0.997	42.03	0.986	0.951
118	-0.019	0.146	0.976	0.971	0.99	0.992	42.031	0.973	0.952
119	-0.024	0.141	0.977	0.972	0.993	0.996	42.054	0.982	0.949
120	-0.019	0.152	0.973	0.969	0.995	0.996	42.043	0.982	0.952
121	-0.005	0.149	0.977	0.966	0.99	0.992	42.037	0.974	0.951
122	-0.004	0.148	0.976	0.97	0.991	0.992	42.042	0.971	0.952
123	-0.006	0.145	0.977	0.974	0.993	0.996	42.045	0.978	0.95
124	-0.014	0.136	0.981	0.973	0.992	0.994	42.045	0.976	0.953
125	-0.006	0.125	0.981	0.975	0.995	0.997	42.045	0.984	0.95
126	-0.009	0.146	0.977	0.97	0.989	0.99	42.054	0.967	0.956
127	-0.005	0.158	0.975	0.968	0.987	0.989	42.08	0.963	0.952
128	-0.01	0.136	0.978	0.972	0.996	0.997	42.041	0.982	0.948
129	-0.012	0.182	0.971	0.961	0.988	0.992	42.042	0.976	0.953
130	-0.007	0.133	0.978	0.973	0.992	0.993	42.041	0.972	0.949
131	-0.008	0.118	0.98	0.978	0.996	0.997	42.029	0.984	0.953
132	-0.013	0.127	0.98	0.975	0.993	0.995	42.039	0.98	0.947
133	-0.011	0.123	0.98	0.975	0.995	0.997	42.046	0.983	0.947
134	-0.025	0.142	0.977	0.971	0.992	0.993	42.031	0.974	0.95
135	-0.056	0.199	0.964	0.958	0.983	0.985	42.037	0.956	0.955
136	-0.004	0.163	0.972	0.966	0.994	0.997	42.041	0.983	0.947
137	-0.045	0.128	0.978	0.976	0.997	0.997	42.043	0.985	0.947
138	-0.006	0.128	0.979	0.975	0.978	0.983	42.046	0.945	0.949
139	-0.003	0.121	0.981	0.976	0.995	0.997	42.039	0.984	0.947
140	-0.012	0.135	0.977	0.972	0.996	0.997	42.036	0.988	0.95
141	0.001	0.115	0.982	0.978	0.995	0.997	42.037	0.987	0.949
142	-0.002	0.116	0.981	0.979	0.994	0.996	42.046	0.982	0.948
143	-0.003	0.115	0.981	0.976	0.995	0.997	42.034	0.984	0.948
144	-0.006	0.136	0.978	0.973	0.987	0.989	42.031	0.966	0.95
