epoch	train.loss	train.mjpeg_acc	train.noise_acc	val.base_acc	val.cropped_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.ssim
80	0.208	0.797	0.918	0.879	0.87	0.738	0.878	42.083	0.956
81	0.2	0.797	0.921	0.886	0.876	0.745	0.884	42.058	0.955
82	0.188	0.803	0.928	0.892	0.882	0.744	0.89	42.016	0.955
83	0.173	0.808	0.936	0.892	0.883	0.742	0.891	42.01	0.954
84	0.167	0.807	0.94	0.901	0.891	0.749	0.898	42.101	0.954
85	0.159	0.808	0.946	0.911	0.901	0.752	0.908	41.996	0.953
86	0.145	0.816	0.956	0.915	0.902	0.751	0.912	42.006	0.953
87	0.133	0.818	0.964	0.917	0.909	0.754	0.915	42.022	0.953
88	0.125	0.818	0.97	0.923	0.912	0.754	0.921	42.082	0.953
89	0.114	0.82	0.975	0.931	0.919	0.75	0.93	41.985	0.952
90	0.1	0.82	0.981	0.937	0.927	0.746	0.935	42.013	0.951
91	0.095	0.818	0.982	0.935	0.924	0.747	0.933	42.019	0.951
92	0.082	0.821	0.986	0.938	0.927	0.743	0.936	41.956	0.95
93	0.077	0.818	0.988	0.942	0.931	0.747	0.941	42.002	0.951
94	0.075	0.815	0.989	0.946	0.938	0.75	0.943	42.0	0.95
95	0.06	0.823	0.993	0.946	0.936	0.747	0.943	42.007	0.95
96	0.054	0.819	0.994	0.95	0.942	0.751	0.948	41.988	0.951
97	0.054	0.811	0.994	0.948	0.935	0.75	0.946	42.036	0.952
98	0.055	0.812	0.992	0.953	0.941	0.754	0.952	41.935	0.949
99	0.045	0.817	0.995	0.955	0.945	0.748	0.953	42.029	0.95
100	0.041	0.815	0.996	0.952	0.945	0.745	0.951	41.969	0.948
101	0.037	0.813	0.996	0.957	0.948	0.745	0.957	42.01	0.949
102	0.035	0.815	0.996	0.962	0.953	0.751	0.959	41.961	0.948
103	0.029	0.814	0.998	0.962	0.949	0.741	0.96	41.933	0.949
104	0.032	0.811	0.997	0.961	0.952	0.743	0.959	41.976	0.949
105	0.027	0.814	0.998	0.955	0.942	0.734	0.953	42.048	0.951
106	0.042	0.808	0.993	0.957	0.946	0.741	0.954	42.107	0.952
107	0.023	0.816	0.998	0.964	0.956	0.751	0.962	41.879	0.946
108	0.021	0.815	0.998	0.962	0.953	0.741	0.96	41.85	0.947
109	0.021	0.817	0.998	0.962	0.95	0.724	0.958	41.886	0.946
110	0.023	0.808	0.998	0.966	0.959	0.743	0.966	41.854	0.946
111	0.02	0.812	0.998	0.957	0.948	0.736	0.954	41.837	0.946
112	0.018	0.817	0.998	0.962	0.953	0.738	0.96	41.868	0.945
113	0.018	0.814	0.998	0.964	0.955	0.731	0.961	41.898	0.946
114	0.019	0.811	0.998	0.962	0.954	0.748	0.96	41.992	0.95
115	0.018	0.811	0.998	0.965	0.953	0.736	0.962	41.905	0.947
116	0.015	0.807	0.999	0.966	0.955	0.732	0.964	41.889	0.946
117	0.014	0.81	0.999	0.957	0.948	0.75	0.956	41.856	0.945
118	0.019	0.796	0.997	0.96	0.951	0.72	0.959	41.828	0.946
119	0.015	0.812	0.998	0.965	0.955	0.74	0.963	41.851	0.946
120	0.013	0.81	0.999	0.963	0.955	0.73	0.96	41.844	0.945
121	0.014	0.804	0.998	0.966	0.959	0.735	0.964	41.863	0.944
122	0.017	0.801	0.997	0.96	0.951	0.743	0.958	42.061	0.949
123	0.013	0.809	0.999	0.965	0.957	0.734	0.964	41.854	0.945
124	0.018	0.796	0.997	0.964	0.955	0.723	0.962	42.029	0.95
125	0.011	0.806	0.999	0.959	0.949	0.71	0.957	42.058	0.949
126	0.013	0.8	0.998	0.966	0.959	0.741	0.964	41.893	0.947
127	0.014	0.803	0.998	0.96	0.948	0.731	0.958	42.029	0.95
128	0.012	0.8	0.999	0.968	0.958	0.729	0.966	41.916	0.945
